run_id,scenario,workload,config,problems,warmup,iters,seed,persistent_ctas,best_grouped_mode,best_grouped_kernel_ms,baseline_kernel_ms,speedup_vs_baseline,best_grouped_tflops,baseline_tflops,best_grouped_tail_share,baseline_launches
1,grid_workload_config,small,64x64x16,256,10,50,42,0,sort_by_tiles_then_k,0.036,3.434,95.39,0.959,0.010,0.035,256
2,grid_workload_config,small,128x64x32,256,10,50,42,0,sort_by_k,0.067,3.502,52.27,0.514,0.010,0.061,256
3,grid_workload_config,small,64x128x32,256,10,50,42,0,sort_by_tiles,0.058,3.829,66.02,0.593,0.009,0.071,256
4,grid_workload_config,mixed,64x64x16,256,10,50,42,0,sort_by_k,0.104,3.303,31.76,2.741,0.086,0.012,256
5,grid_workload_config,mixed,128x64x32,256,10,50,42,0,sort_by_k,0.126,3.692,29.30,2.257,0.077,0.027,256
6,grid_workload_config,mixed,64x128x32,256,10,50,42,0,sort_by_k,0.142,3.943,27.77,2.002,0.072,0.028,256
7,grid_workload_config,tail,64x64x16,256,10,50,42,0,sort_by_k,0.186,3.193,17.17,4.531,0.265,0.003,256
8,grid_workload_config,tail,128x64x32,256,10,50,42,0,sort_by_k,0.198,3.755,18.96,4.276,0.225,0.011,256
9,grid_workload_config,tail,64x128x32,256,10,50,42,0,sort_by_k,0.210,3.721,17.72,4.031,0.227,0.011,256
10,sweep_problems_mixed_64x64x16,mixed,64x64x16,64,10,50,42,0,none,0.039,0.614,15.74,2.039,0.129,0.110,64
11,sweep_problems_mixed_64x64x16,mixed,64x64x16,128,10,50,42,0,sort_by_tiles,0.052,1.495,28.75,2.414,0.084,0.012,128
12,sweep_problems_mixed_64x64x16,mixed,64x64x16,256,10,50,42,0,sort_by_k,0.095,3.273,34.45,2.992,0.087,0.012,256
13,sweep_problems_mixed_64x64x16,mixed,64x64x16,512,10,50,42,0,none,0.187,4.807,25.71,3.094,0.120,0.093,512
14,sweep_problems_mixed_64x64x16,mixed,64x64x16,1024,10,50,42,0,none,0.383,13.236,34.56,2.986,0.086,0.095,1024
15,sweep_problems_tail_128x64x32,tail,128x64x32,64,10,50,42,0,sort_by_tiles_then_k,0.080,0.813,10.16,2.687,0.263,0.010,64
16,sweep_problems_tail_128x64x32,tail,128x64x32,128,10,50,42,0,sort_by_k,0.122,1.937,15.88,3.932,0.248,0.009,128
17,sweep_problems_tail_128x64x32,tail,128x64x32,256,10,50,42,0,sort_by_k,0.200,3.836,19.18,4.231,0.220,0.011,256
18,sweep_problems_tail_128x64x32,tail,128x64x32,512,10,50,42,0,none,0.452,7.642,16.91,3.507,0.207,0.101,512
19,sweep_problems_tail_128x64x32,tail,128x64x32,1024,10,50,42,0,none,1.055,15.253,14.46,2.922,0.202,0.096,1024
20,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,0,sort_by_tiles,0.274,7.142,26.07,2.106,0.081,0.018,512
21,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,24,none,0.459,8.038,17.51,1.258,0.072,0.094,512
22,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,48,none,0.319,8.077,25.32,1.811,0.071,0.094,512
23,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,72,none,0.276,8.061,29.21,2.090,0.072,0.094,512
24,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,96,sort_by_tiles,0.274,7.993,29.17,2.106,0.072,0.018,512
25,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,120,none,0.279,8.116,29.09,2.069,0.071,0.094,512
26,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,144,none,0.277,8.154,29.44,2.083,0.071,0.094,512
27,sweep_persistent_mixed_128x64x32,mixed,128x64x32,512,10,50,42,192,none,0.276,7.697,27.89,2.090,0.075,0.094,512
28,sweep_persistent_tail_128x64x32,tail,128x64x32,512,10,50,42,0,none,0.444,7.959,17.93,3.574,0.199,0.101,512
29,sweep_persistent_tail_128x64x32,tail,128x64x32,512,10,50,42,24,none,0.605,7.885,13.03,2.620,0.201,0.101,512
30,sweep_persistent_tail_128x64x32,tail,128x64x32,512,10,50,42,48,none,0.449,7.860,17.51,3.529,0.202,0.101,512
31,sweep_persistent_tail_128x64x32,tail,128x64x32,512,10,50,42,72,none,0.438,8.015,18.30,3.619,0.198,0.101,512
32,sweep_persistent_tail_128x64x32,tail,128x64x32,512,10,50,42,96,none,0.421,7.819,18.57,3.763,0.203,0.101,512
33,sweep_persistent_tail_128x64x32,tail,128x64x32,512,10,50,42,120,none,0.435,7.586,17.44,3.640,0.209,0.101,512
34,sweep_persistent_tail_128x64x32,tail,128x64x32,512,10,50,42,144,sort_by_tiles,0.396,7.897,19.94,4.005,0.201,0.011,512
35,sweep_persistent_tail_128x64x32,tail,128x64x32,512,10,50,42,192,sort_by_k,0.399,7.847,19.67,3.977,0.202,0.011,512
36,sweep_seed_mixed_64x64x16,mixed,64x64x16,256,10,50,1,0,sort_by_k,0.092,2.545,27.66,2.920,0.105,0.010,256
37,sweep_seed_mixed_64x64x16,mixed,64x64x16,256,10,50,42,0,sort_by_k,0.095,3.083,32.45,2.986,0.092,0.012,256
38,sweep_seed_mixed_64x64x16,mixed,64x64x16,256,10,50,20260328,0,sort_by_k,0.095,3.037,31.97,3.074,0.096,0.016,256
39,sweep_seed_mixed_64x64x16,mixed,64x64x16,256,10,50,777,0,sort_by_k,0.096,3.489,36.34,3.115,0.086,0.015,256
40,sweep_seed_mixed_64x64x16,mixed,64x64x16,256,10,50,20260331,0,sort_by_k,0.095,2.421,25.48,3.185,0.125,0.013,256
41,sweep_seed_tail_128x64x32,tail,128x64x32,512,10,50,1,0,none,0.397,7.808,19.67,3.954,0.201,0.058,512
42,sweep_seed_tail_128x64x32,tail,128x64x32,512,10,50,42,0,none,0.438,7.845,17.91,3.620,0.202,0.101,512
43,sweep_seed_tail_128x64x32,tail,128x64x32,512,10,50,20260328,0,sort_by_k,0.369,7.620,20.65,3.982,0.193,0.012,512
44,sweep_seed_tail_128x64x32,tail,128x64x32,512,10,50,777,0,none,0.394,5.746,14.58,3.710,0.254,0.108,512
45,sweep_seed_tail_128x64x32,tail,128x64x32,512,10,50,20260331,0,none,0.414,7.708,18.62,3.920,0.211,0.058,512
46,sweep_warmup_iters,mixed,64x64x16,256,5,20,42,0,sort_by_k,0.095,2.760,29.05,2.998,0.103,0.012,256
47,sweep_warmup_iters,mixed,64x64x16,256,10,50,42,0,sort_by_k,0.095,2.623,27.61,2.987,0.108,0.012,256
48,sweep_warmup_iters,mixed,64x64x16,256,20,100,42,0,sort_by_k,0.095,3.104,32.67,2.986,0.092,0.012,256
